CO,PT08.S1,PT08.S2,PT08.S3,PT08.S4,PT08.S5,T,RH,AH
2,1020,1042,788,1401,927,24.2,27.2,0.8128
3.1,1107,1219,683,1582,1131,25.1,25.8,0.8065
3.9,1119,1233,670,1539,1270,22.3,29.2,0.7773
4.3,1173,1322,633,1679,1365,20.8,32.5,0.7873
3.5,1097,1144,702,1517,1274,19.1,36.8,0.8066
2.4,1018,1024,758,1400,1169,18.1,39.9,0.8232
1.5,932,914,837,1298,1000,17.4,42.8,0.8463
1.3,897,849,891,1253,910,16.7,46.6,0.8793
1,840,758,994,1189,829,17.1,46.8,0.9054
0.8,802,680,1091,1137,756,15.3,51.9,0.8982
0.5,765,637,1138,1113,742,15,52.8,0.8929
0.5,748,595,1208,1089,677,12.8,59.8,0.8801
0.7,791,704,1057,1154,748,11.9,62.7,0.8726
1.2,875,871,890,1253,890,12.1,62.6,0.8825
2.4,1085,1164,707,1503,1155,13.5,58.2,0.8944
4.3,1268,1482,550,1849,1533,14.4,55.7,0.9087
4.1,1236,1332,601,1683,1550,17.8,45.7,0.9224
3.7,1274,1294,615,1595,2236,21,37.2,0.9155
3.4,1250,1280,618,1663,2178,24.5,29.8,0.9008
3.8,1224,1347,602,1670,1901,26.4,26.4,0.8969
4.1,1220,1344,605,1676,1743,25.2,26.8,0.8451
3.4,1166,1265,640,1570,1502,26.1,24.8,0.8283
2.3,1050,1084,748,1402,1153,26.2,24.4,0.8174
3.2,1174,1264,670,1598,1287,28.9,21.3,0.8382
4.8,1323,1474,554,1854,1547,28,23.3,0.8681
6.7,1432,1706,488,2098,1842,24.7,27.9,0.8559
7.5,1479,1756,466,2165,1908,23,33.6,0.9302
4.5,1309,1379,555,1841,1693,20.9,45.8,1.1159
2.1,1089,1037,707,1480,1336,19.8,48.6,1.113
1.5,1009,911,788,1359,1177,19.8,47.7,1.0885
1.1,930,796,883,1263,977,18.6,49.1,1.0435
1.1,929,805,879,1270,974,17.2,53.9,1.0498
0.9,872,718,981,1223,872,16.3,56.8,1.047
0.5,790,601,1150,1157,734,17.4,53.4,1.0541
0.66667,789,596,1145,1161,698,14.6,62.1,1.0236
0.4,769,586,1221,1134,650,17.1,52.5,1.013
0.7,852,713,1029,1203,749,15.2,58.3,0.9986
2,1100,1097,739,1516,1106,14.9,59.2,0.9985
4.2,1326,1504,510,1968,1609,15.1,59,1.0086
5.2,1433,1518,499,1973,1770,19,47.8,1.0434
3.8,1310,1334,573,1747,1633,22.4,38.8,1.04
3.7,1304,1272,593,1673,1583,25.4,33.3,1.0679
3.4,1286,1286,593,1728,1449,27.2,30.4,1.081
3.1,1217,1175,621,1644,1451,25.5,34.8,1.1152
2.4,1104,1099,698,1483,1147,26.4,28.5,0.9658
2.8,1143,1176,677,1551,1108,27.7,25.1,0.9158
3.6,1205,1295,626,1613,1267,28.6,23.2,0.8917
4,1276,1340,597,1677,1303,27.2,26.3,0.9317
5.6,1440,1573,491,1997,1643,25.3,33,1.0473
6.3,1467,1643,467,2088,1749,23.2,36.9,1.0346
4.7,1339,1373,541,1797,1585,21.6,43.3,1.1019
1.9,1108,1061,685,1454,1315,21.1,44.8,1.1088
1.9,1116,1012,699,1445,1290,19.7,49.3,1.1148
1.2,981,860,812,1298,1059,20.3,47.8,1.1281
0.9,947,798,869,1276,943,19.4,50.3,1.1201
1.7,1200,1021,678,1510,1157,24.6,44.1,1.3477
2.2,1290,1151,613,1638,1219,25.6,43.4,1.4049
2.8,1366,1223,578,1744,1288,26.1,42.6,1.4172
3.9,1505,1388,516,1978,1503,25.8,44.8,1.4644
6.5,1728,1683,419,2365,1861,25.4,47.9,1.5346
6.3,1673,1643,436,2259,1781,24.6,50,1.5241
5.7,1636,1553,449,2130,1745,23.6,54.4,1.5687
4.4,1468,1296,529,1854,1590,22.6,59.5,1.6155
1.6,1180,997,677,1549,1127,22.1,61.3,1.6133
1.5,1138,938,700,1500,1098,22.1,61.3,1.6053
1.7,1192,1004,665,1577,1176,21.1,64.7,1.5956
1.9,1176,993,659,1572,1178,20.3,66.4,1.5591
1.6,1137,967,687,1557,1091,19.4,69.3,1.5418
1.3,1035,851,764,1465,1002,19,70.8,1.5417
0.6,904,655,968,1326,824,19.8,67.2,1.5322
0.7,966,726,872,1371,892,19,70.3,1.5308
1.6,1124,972,674,1568,1092,18.8,71.8,1.5372
2.9,1348,1217,559,1816,1413,20.2,66.3,1.555
4.1,1499,1501,469,2130,1565,20.8,64.3,1.563
3.7,1427,1311,503,1900,1594,22.3,59.3,1.5705
3.6,1473,1330,497,1908,1677,23.2,56.6,1.5929
3.4,1440,1294,506,1879,1616,23.8,54.7,1.587
3.7,1474,1326,485,1943,1610,23.5,56.2,1.6048
4.1,1485,1359,477,2005,1614,23.9,54.4,1.5963
2.4,1306,1079,603,1668,1286,25.4,47.4,1.517
3.4,1464,1251,530,1853,1487,26.4,45.4,1.54
5.6,1629,1466,458,2130,1703,25.8,46.9,1.5375
2.9,1342,1157,572,1707,1195,28.6,37.6,1.4468
5.4,1623,1522,447,2110,1618,28,38.5,1.437
5.3,1576,1458,463,2024,1637,25.2,45.8,1.4464
6.7,1747,1709,399,2370,1876,24,50.6,1.4892
7,1757,1680,396,2280,1959,23.2,54.7,1.5296
2.8,1331,1194,559,1715,1477,22.3,57.1,1.5219
1.7,1182,1016,658,1572,1210,21.8,58.2,1.5036
1.7,1162,1008,658,1556,1160,20.9,61.3,1.4923
1.7,1147,964,668,1517,1116,20.6,62,1.4827
1.2,1040,836,762,1423,974,20.3,62.5,1.472
0.7,920,688,920,1317,820,20.5,62.1,1.4771
0.8,954,731,865,1360,839,18.2,70.3,1.4498
0.9,981,790,817,1390,898,18.2,70.1,1.4552
1.7,1147,1009,653,1589,1096,18.2,70,1.4519
5.7,1606,1578,440,2205,1786,19.4,66.5,1.4801
4.3,1490,1424,465,2033,1604,19.5,66.9,1.4999
3.9,1473,1409,483,1984,1637,21.1,61.1,1.5056
5.1,1582,1539,435,2141,1827,23.2,54.7,1.5349
3.7,1468,1323,496,1913,1641,24.4,52.5,1.5807
3.3,1413,1285,518,1883,1505,26.4,45.8,1.553
3.6,1400,1331,520,1916,1465,27.7,39.2,1.4356
3.2,1361,1238,548,1805,1368,28,39.6,1.4738
3.5,1389,1311,525,1845,1748,28.7,38.4,1.486
2.4,1305,1167,586,1690,1301,28.5,39.4,1.5147
2.9,1354,1275,543,1799,1338,28.4,39.8,1.5191
2.3,1352,1296,534,1846,1337,26.4,45.9,1.5572
3.1,1472,1327,497,1895,1516,25.2,49.5,1.5665
2.9,1412,1256,525,1797,1435,24.9,50.9,1.5856
1.5,1221,1061,619,1615,1178,24.6,52.2,1.5951
1.5,1230,990,652,1559,1111,24,54.4,1.6049
1.7,1247,961,666,1569,1112,23.8,56.1,1.6298
1.6,1217,975,665,1565,1109,22.3,60.6,1.608
1.3,1158,923,673,1519,1072,21.9,61.5,1.5967
1.4,1150,871,697,1502,1030,21.1,64.5,1.594
0.9,1062,770,780,1450,922,21.3,63.9,1.5951
1.3,1157,890,681,1549,1054,20.8,66.7,1.6201
1.3,1167,907,681,1548,1082,20.6,67.5,1.621
2.9,1403,1229,523,1872,1365,20.9,66.3,1.6165
3.2,1453,1298,489,1940,1497,21.5,63.7,1.6186
3.4,1455,1260,502,1868,1540,23.7,56,1.6238
3.6,1512,1282,498,1899,1554,26,48.2,1.598
2.3,1331,1082,588,1689,1252,28.5,42.4,1.6286
3.1,1472,1246,512,1873,1455,28.1,45.3,1.6957
3.3,1430,1187,539,1812,1339,29,43.9,1.7309
1.9,1264,1016,624,1650,1062,28.9,44.3,1.7392
2.6,1378,1177,548,1775,1266,29.6,42.3,1.7248
2.7,1377,1123,578,1716,1223,29.4,42.9,1.7308
3.7,1527,1293,502,1907,1469,28.7,45.1,1.7468
3.8,1573,1343,470,1990,1553,27,51.2,1.7928
4.8,1674,1447,448,2065,1689,26.5,52.7,1.7966
3.5,1455,1218,535,1796,1387,26.2,51.7,1.7334
2.2,1242,1022,630,1641,1139,24.8,56.4,1.7447
1.5,1181,935,701,1565,960,24.9,56,1.7367
3.4,1468,1155,565,1738,1293,24.5,57.5,1.7433
3.7,1520,1217,552,1812,1357,24.7,56.9,1.7438
2,1203,1046,621,1664,1103,23.9,59.2,1.7327
1.4,1096,903,732,1560,857,23.8,60.2,1.7515
1.36667,941,686,942,1406,549,22.8,64,1.7507
0.7,952,695,910,1429,627,22.2,65.6,1.7355
1.2,1082,825,753,1526,930,21.3,69.1,1.7275
1.3,1095,886,705,1574,1001,21.3,68.2,1.7127
1.1,1049,826,765,1521,917,22.2,65.2,1.7256
1,1055,795,807,1494,834,24.1,59,1.7449
1.2,1074,767,814,1489,796,24.3,61.6,1.8468
1.9,1229,941,680,1653,1040,24.8,59.6,1.8351
2.3,1228,952,668,1622,1110,24.5,58.8,1.7838
1.6,1107,807,768,1546,836,21,76.8,1.8881
1.3,1031,732,872,1476,704,19.8,78,1.7879
1.8,1155,804,815,1510,773,19.4,80.5,1.7917
1.7,1131,841,784,1531,811,19.6,79.1,1.7877
1.8,1143,890,744,1578,848,20.8,73.1,1.7695
2,1145,915,733,1586,892,21.1,68.6,1.7014
2.2,1169,910,726,1563,992,21.1,68.3,1.6914
1.6,1105,905,734,1576,950,21.2,67.7,1.6848
1.3,1049,817,806,1517,882,20.8,68.6,1.6719
1.5,1069,844,767,1527,883,20.8,68.1,1.6585
1.5,1073,838,768,1549,892,20.7,68.4,1.6507
1.3,1039,817,799,1502,836,20.1,70.5,1.6384
1.4,1021,811,794,1502,837,20.2,67.9,1.5901
0.5,825,536,1203,1302,498,19.4,70.4,1.5663
0.4,847,576,1139,1321,507,17.9,77.7,1.5795
0.6,903,679,956,1385,660,18.2,76.9,1.5945
1.1,1041,865,757,1486,902,18.6,74.9,1.5918
2.9,1314,1267,559,1888,1240,19.6,70.3,1.5821
3.5,1326,1416,499,1971,1395,20.2,66.6,1.5567
4.6,1464,1444,475,2049,1625,19.7,68.9,1.5638
3.4,1313,1213,564,1789,1359,19.2,73.4,1.6192
2.3,1202,1058,647,1623,1152,20,69.6,1.607
2.7,1225,1155,607,1738,1159,21.1,64,1.5795
3.1,1257,1248,557,1837,1179,20.2,67.4,1.5832
3.2,1271,1217,566,1810,1227,20.2,68.9,1.6074
2.5,1179,1120,634,1667,1119,21.9,57.6,1.4942
3.4,1278,1248,574,1814,1243,23.2,52,1.4642
4.8,1435,1429,499,2072,1449,21.7,59.1,1.5115
4.5,1326,1356,525,1966,1405,20.8,61.4,1.4898
4,1324,1335,537,1920,1444,19.9,64.2,1.4711
3.2,1206,1185,592,1751,1386,19.7,65.1,1.4769
1.9,1052,987,700,1556,1102,20,63.3,1.4672
1.9,1057,934,743,1525,1041,19,66.1,1.4415
1.3,952,833,846,1381,881,18.8,60.9,1.3032
1.1,911,769,919,1340,791,18.9,60.7,1.311
1,898,742,915,1345,796,18.1,65.2,1.343
0.5,809,593,1134,1277,647,18.3,65.1,1.3529
0.5,814,666,1029,1311,719,17.8,67.5,1.3674
0.8,857,705,982,1312,733,16.9,66.7,1.2772
1.2,935,810,881,1356,835,17.8,60.6,1.2276
2.7,1159,1110,671,1650,1094,17.6,60.8,1.2151
3,1102,1141,648,1594,1114,17.9,57.8,1.1751
1.5,896,809,882,1257,788,15.4,53.2,0.9246
1.2,882,776,932,1222,760,16.5,49.9,0.9289
4.7,1597,1573,424,2307,1956,24.8,57.7,1.7765
8,1884,1846,348,2595,2203,24.6,58.9,1.8005
7.7,1835,1770,358,2474,2073,23.9,61.8,1.8088
6.8,1759,1684,373,2378,1923,23,65.9,1.8319
6,1666,1553,409,2170,1780,22.4,67.7,1.8161
4.7,1506,1360,458,1944,1609,22,69.2,1.8061
3.4,1378,1229,511,1820,1466,21.8,69.6,1.79
3.9,1448,1283,496,1877,1504,21.9,68.3,1.7699
4.4,1481,1359,467,1957,1518,21.7,69.7,1.7872
3.3,1289,1161,552,1765,1289,21.3,70.3,1.7574
2,1109,951,664,1570,1076,20.8,71.7,1.7415
1.83333,1015,839,754,1473,970,21.4,69.3,1.7515
0.8,966,771,830,1420,900,21.3,69.5,1.7447
1.3,1088,932,706,1565,1034,21.5,67.5,1.708
2.7,1303,1198,578,1791,1235,21.9,64.8,1.683
3.6,1440,1412,494,2016,1455,22.6,61.4,1.6645
3.6,1392,1313,517,1866,1478,22.6,61.5,1.6636
2.6,1248,1167,572,1704,1393,25.5,52.3,1.6796
2,1197,1058,634,1626,1237,27,47.6,1.67
3.3,1357,1230,542,1834,1373,25.2,53.3,1.6834
2.1,1261,1148,585,1733,1287,27.2,48.5,1.7172
2.9,1382,1200,539,1807,1413,26.9,50,1.7507
3,1400,1230,519,1864,1483,26.5,52.2,1.7769
3.2,1443,1322,488,1933,1539,27,51,1.7936
4.4,1630,1520,427,2166,1691,25.9,55.8,1.8347
6,1720,1661,382,2403,1846,25.1,59.4,1.8632
5,1600,1492,432,2160,1665,24.7,58.7,1.8001
4.3,1525,1427,450,2085,1577,23.6,62.2,1.7863
4.3,1544,1409,448,2048,1603,22.4,67.1,1.794
4.2,1455,1357,466,1964,1530,21.6,69.2,1.763
2.2,1203,1090,593,1655,1205,21.3,68.5,1.7164
1.3,1038,895,714,1474,999,21.2,68.6,1.7046
1,975,807,788,1423,904,20.3,70.6,1.6659
0.93333,930,741,849,1392,843,19.6,71.3,1.612
0.9,960,804,802,1435,886,18.7,74.4,1.5861
1,982,834,770,1435,911,19.8,69.2,1.5808
2.8,1359,1282,541,1912,1319,19.8,69.4,1.5859
4.1,1500,1503,437,2158,1927,20.4,66.7,1.5781
2.9,1315,1261,535,1830,1554,22.3,60.6,1.6069
2.7,1307,1248,525,1787,1565,22.6,59.9,1.6246
2.1,1235,1125,574,1704,1462,24.5,54.5,1.6514
2.4,1310,1194,538,1781,1487,24.4,55.4,1.6712
3.8,1459,1375,467,2007,1690,26,51.9,1.7148
3.7,1461,1358,474,2033,1603,26.8,49.1,1.7101
3.7,1476,1352,474,1996,1568,26.4,49.8,1.6928
5.5,1612,1496,429,2127,1743,26.9,48.6,1.7017
5.4,1654,1546,435,2176,2007,26.2,48.9,1.634
8.4,1808,1771,373,2486,2235,24.3,54.3,1.6276
6.8,1681,1666,397,2339,1998,23.3,58.1,1.6457
4.5,1494,1443,454,2020,1795,22.3,62.5,1.6616
2.5,1251,1107,579,1657,1407,21.3,66.1,1.6556
1.6,1132,965,669,1502,1211,21.2,65.7,1.6319
1.7,1158,970,664,1509,1202,20.3,68.1,1.6009
1.7,1146,983,673,1518,1136,20.4,66.7,1.583
1.1,993,813,792,1413,946,19.9,67.5,1.5544
1,989,814,800,1418,915,19.1,70,1.5331
0.83333,910,712,872,1341,836,19.6,66.9,1.5125
0.7,925,742,876,1381,842,18.1,72.1,1.4834
1.2,1039,882,724,1473,1002,18.1,72.3,1.4927
2.3,1208,1104,598,1699,1165,17.6,74.8,1.491
3,1268,1179,545,1753,1294,18.2,72.8,1.5048
3.3,1353,1265,507,1833,1475,20.2,65.8,1.5374
2.8,1317,1171,542,1727,1436,21.6,61.4,1.5696
3,1356,1187,534,1738,1465,23.3,57.5,1.6169
3.4,1414,1279,504,1854,1583,25,52.4,1.6356
3,1326,1206,533,1785,1432,25.4,50.8,1.6275
2.3,1211,1067,609,1608,1270,26.1,47.1,1.5724
3.1,1324,1173,564,1749,1354,27,44.2,1.549
3,1324,1181,565,1747,1318,27.2,43,1.5246
3.3,1361,1189,549,1776,1351,25.6,48.3,1.5641
4,1475,1324,490,1925,1530,23.3,57.9,1.6376
4.6,1537,1381,469,2016,1615,22.2,63.6,1.6763
4.1,1413,1231,520,1853,1415,21.6,67.7,1.7228
2.3,1229,1055,607,1668,1219,21,69.3,1.7058
2.6,1297,1136,567,1725,1307,20.3,70.5,1.6599
2.6,1302,1088,594,1639,1297,20,69.5,1.6109
2.9,1347,1165,573,1741,1321,19.7,70.1,1.5891
2.1,1165,1042,631,1621,1133,19.5,70.7,1.5851
2.1,1155,1012,633,1577,1124,19.4,71.4,1.5959
1.3,1035,855,731,1467,952,18.7,73.8,1.5704
1.4,1057,925,684,1503,972,18,75.4,1.5441
1.2,1029,880,709,1451,965,17.3,78.4,1.532
1.5,1037,902,704,1481,984,17.5,76.6,1.5174
0.9,920,755,853,1359,880,20,66.7,1.5401
1.4,1080,891,732,1477,1001,19.1,70,1.5366
2.1,1152,966,661,1542,1137,21.4,61.7,1.5547
1.6,1085,918,721,1467,1023,24.6,50.4,1.5363
1.5,1071,882,745,1431,962,25,49.1,1.5295
1.1,1000,807,811,1376,825,25.3,46.7,1.4874
1.4,1058,875,756,1421,877,24.8,47.9,1.4819
2,1184,983,667,1537,1046,25.3,48,1.5249
2,1189,965,670,1533,1060,26.5,44.9,1.5278
2.5,1277,1043,614,1631,1155,25,50.1,1.563
4.3,1482,1305,503,1874,1464,22.9,57.6,1.5885
5.2,1555,1410,464,1971,2185,21.7,62.9,1.6117
3.4,1324,1168,568,1716,1959,21.8,63,1.619
1.3,1015,869,747,1439,1375,21.2,63.4,1.5748
1.2,1010,860,768,1450,1212,20.2,65.8,1.535
1.7,1081,938,697,1517,1273,18.4,71.5,1.5038
1.7,1071,936,695,1516,1249,17.9,72.4,1.4758
1.4,1014,864,745,1474,1097,16.9,75.4,1.4393
0.9,891,735,878,1353,933,16.5,75.5,1.4056
1.56667,882,729,875,1319,870,15.5,78.6,1.37
0.9,940,806,800,1392,1013,16.2,76.9,1.4029
1.2,1020,866,749,1440,1087,15.8,79.6,1.417
3.2,1316,1253,527,1780,1566,16,76.3,1.3772
4.4,1423,1429,467,1998,1631,16.3,74.3,1.3644
3.5,1314,1262,531,1754,1564,18.7,66.3,1.414
3.2,1317,1283,518,1812,1601,20.5,60.2,1.4346
3,1305,1245,524,1742,1539,19.3,66.2,1.4706
3.5,1351,1298,498,1821,1577,20,63.9,1.4805
4,1438,1425,451,1971,1732,21.4,59.4,1.4928
3.8,1454,1380,457,1947,1672,21.5,60.9,1.5398
4.2,1512,1441,432,2034,1744,21.6,60.9,1.5551
5,1584,1597,392,2176,1845,21.6,62,1.5784
7.9,1816,1897,330,2641,2164,21.7,61.9,1.592
8.4,1824,1862,340,2567,2106,21,64.9,1.5987
8,1744,1793,352,2469,2007,20,68.6,1.5882
6.4,1588,1610,400,2230,1791,19.3,71.4,1.5805
3.5,1319,1273,511,1806,1444,18.5,73.4,1.5461
3.5,1313,1285,505,1803,1373,17.7,75.6,1.5226
1.9,1073,1005,661,1488,1110,18.5,70.4,1.487
2.2,1119,1056,624,1562,1099,17,76.1,1.4582
1.6,989,900,737,1401,968,16.8,74.9,1.4258
1,912,788,822,1331,847,15.5,78.5,1.3782
0.86667,851,726,897,1277,799,15,77.9,1.3197
0.9,902,809,835,1355,834,14.8,79.4,1.3312
1.4,981,923,730,1425,956,15.7,77,1.3591
3,1267,1260,572,1776,1259,16.2,75.9,1.3872
4.5,1392,1429,469,1990,1494,16.3,75.9,1.3991
3.8,1308,1285,522,1781,1458,17.7,70.6,1.4202
3.4,1313,1318,511,1820,1491,18.3,67.6,1.4103
3.5,1350,1299,518,1784,1560,20.1,62,1.4409
4.4,1477,1471,455,2031,1750,22.6,54.5,1.4737
4,1409,1393,484,1874,1709,24.6,47.1,1.4378
4.5,1495,1465,451,2043,1786,24.9,48.3,1.4942
5.3,1606,1573,419,2165,1900,24.9,50,1.5522
5.8,1669,1615,404,2232,1963,24,55,1.6211
8.4,1822,1890,347,2641,2161,23.2,58.7,1.651
9.5,1908,2007,325,2775,2372,22.5,61.5,1.6579
6.2,1664,1699,385,2305,2062,22.2,61,1.6071
5,1465,1404,468,1962,1736,22.6,58.3,1.5829
2.1,1076,972,691,1506,1192,21,57.4,1.4098
1.4,1055,895,758,1468,1043,19.8,63.7,1.4524
1.6,1075,878,734,1495,948,17.7,78.8,1.5855
2,1135,948,685,1569,992,17.6,80.5,1.6062
1.2,998,799,786,1435,867,17.4,81.3,1.6066
0.8,953,734,861,1401,825,17.4,81,1.6012
1.3,895,656,946,1343,786,17,81,1.5521
0.7,967,767,833,1416,866,16.8,81.3,1.5447
1.7,1164,997,641,1606,1113,17.6,78.8,1.5723
3.4,1421,1313,502,1983,1384,18,75.7,1.5527
4.9,1465,1515,454,2119,1516,18,74.8,1.5281
2.7,1189,1075,614,1652,1222,18.2,74,1.5343
3.2,1278,1182,585,1734,1354,19.7,65.4,1.4854
2.7,1169,1144,611,1666,1291,21,57.9,1.4267
3.2,1214,1203,580,1739,1308,20.7,58.6,1.4142
4.1,1351,1345,502,1923,1420,19.5,67.1,1.506
3.6,1340,1256,537,1842,1297,18.5,76.2,1.6045
2.8,1157,1131,623,1675,1157,19.6,69.7,1.5675
2.1,1118,1096,647,1649,1130,19.9,65.3,1.5066
2.4,1150,1173,608,1711,1195,20,63.3,1.4622
3.6,1247,1315,544,1874,1341,19.2,66.4,1.4592
2.6,1194,1198,587,1732,1228,19.3,67.5,1.4977
2.8,1184,1157,586,1685,1273,18.2,71.4,1.4776
1.4,990,898,748,1442,1006,17.8,71.2,1.4396
1.1,933,803,842,1369,898,17.6,69.9,1.3969
1.3,968,858,796,1388,894,16,75.9,1.3721
0.9,861,735,925,1287,789,16.9,72,1.3749
1,904,774,878,1329,805,15.7,76.3,1.3519
0.9,866,734,899,1299,770,14.8,78.7,1.3169
0.86667,838,700,936,1268,744,14.6,79.9,1.3156
0.8,905,776,851,1327,825,15.2,78,1.3382
1.6,1055,977,703,1506,1013,15.5,77.2,1.3502
3.4,1328,1296,527,1829,1341,15.7,76.4,1.3558
4.4,1401,1449,477,1969,1528,16,76.4,1.3751
3.5,1291,1296,529,1752,1432,16.7,73.8,1.3886
3.4,1316,1314,526,1780,1499,18.6,66.3,1.4047
2.4,1116,1057,639,1532,1236,20.4,58.1,1.3762
2.3,1139,1088,625,1580,1180,20.6,57.3,1.3792
2.6,1165,1131,609,1640,1196,21.6,53.6,1.3669
2.9,1260,1224,571,1731,1301,21.4,55.6,1.4015
4.4,1475,1451,455,1991,1646,20.7,63,1.5204
5,1521,1470,446,1977,1720,21.3,61.9,1.5463
6.5,1633,1671,398,2271,1852,20.8,64,1.5522
5.9,1463,1508,468,2092,1670,20.3,66.7,1.5656
2.7,1140,1122,619,1602,1208,19.7,64.5,1.4594
2.5,1147,1065,651,1562,1160,19.4,64,1.4282
1.5,988,839,805,1382,937,20.1,60.8,1.4152
1,924,754,890,1327,783,20.4,60.4,1.4263
1.2,950,782,862,1331,807,20.1,62.6,1.4543
1,926,727,925,1326,729,19.9,64.9,1.4905
0.8,879,645,1023,1288,612,18.2,74.7,1.5441
0.6,864,621,1073,1286,574,18.4,73.8,1.5463
0.76667,894,636,1010,1308,687,18.2,76.6,1.5907
1.1,1009,816,799,1430,856,18.5,76.4,1.6112
1.3,1069,889,738,1469,976,19.3,71.6,1.5844
2.9,1311,1178,574,1769,1208,20.2,66.9,1.5643
3.7,1370,1372,485,1945,1400,20.8,64.7,1.5692
3,1246,1197,566,1746,1278,21.9,61.8,1.6021
1.4,1039,917,735,1467,934,23.5,57.7,1.6515
2.6,1296,1113,604,1736,1073,19.8,81,1.8538
4.2,1523,1428,458,2114,1363,20.2,86.5,2.0224
5.1,1424,1361,484,1983,1346,20.2,82.2,1.9184
5.5,1513,1457,463,2125,1393,19.7,82.2,1.8669
4.5,1338,1244,558,1847,1255,20.2,79.1,1.85
2.7,1214,1113,616,1664,1213,20.1,75.4,1.751
3.1,1290,1253,550,1807,1332,20.2,72.3,1.6893
4.2,1353,1323,519,1860,1430,20,73.3,1.693
3.1,1130,1082,647,1591,1102,18.3,74.9,1.5583
1.7,969,843,828,1375,895,18.9,70.4,1.5259
1.8,1038,856,801,1415,905,17.3,76.3,1.4919
1.7,1020,869,793,1410,869,17.1,77.9,1.5081
2.1,1097,944,716,1489,982,17.3,79.3,1.5569
2.4,1123,973,690,1520,999,17.3,79.9,1.5643
1.8,1023,851,782,1413,881,16.9,80.6,1.5372
1.5,1015,833,786,1400,868,16.9,81.4,1.551
1.46667,931,784,826,1372,833,16.9,79.8,1.5238
1,922,783,857,1367,825,16.7,79.7,1.503
1.4,989,891,762,1453,901,16.8,79,1.4978
2.4,1149,1103,622,1662,1090,16.8,79.8,1.5115
3.1,1202,1160,585,1723,1165,16.9,79.9,1.5253
3,1206,1131,592,1675,1201,17.4,79.3,1.5593
2.7,1224,1126,596,1656,1231,18,76.6,1.5706
4,1371,1305,521,1845,1461,21.2,64.4,1.6015
3.7,1327,1259,539,1826,1434,22.4,60.8,1.6261
3.4,1301,1218,553,1806,1399,22.6,61.1,1.6596
3.4,1301,1208,560,1781,1417,23.6,57.3,1.645
3.2,1314,1191,564,1777,1395,23.5,58.3,1.664
3.9,1394,1272,526,1869,1442,22.9,61.6,1.7014
3.7,1385,1260,528,1850,1425,22.3,64.3,1.7055
4.3,1440,1362,486,1968,1496,21.6,68,1.7305
4.9,1493,1437,470,2015,1551,21.2,67.4,1.6755
4,1319,1230,551,1785,1381,20.8,65.8,1.6001
2.8,1187,1110,612,1658,1229,20.4,64.8,1.5379
2.4,1119,984,688,1539,1082,20.1,66.7,1.5548
1.9,1100,924,744,1494,963,19.5,70,1.5711
2,1076,895,757,1492,939,19.3,70.4,1.5578
1.5,972,799,833,1425,825,19.7,68.6,1.5563
1.3,973,828,818,1445,811,19.7,68.2,1.5484
0.66667,844,630,1035,1320,627,18.4,74.2,1.5581
0.5,817,588,1134,1310,589,18.9,71.3,1.5449
0.4,791,519,1291,1295,540,18.1,79,1.6224
0.4,819,537,1264,1315,551,20.4,71.2,1.6834
0.9,972,743,944,1477,742,20.6,70.7,1.6996
1.3,997,797,812,1470,824,19.3,74.1,1.6391
2.1,1194,1000,653,1642,1059,22.2,64.4,1.7005
2.4,1240,1014,628,1643,1144,23,64.6,1.7851
2,1117,922,717,1585,994,24.3,57.4,1.7233
1.8,1141,932,689,1595,1014,22,67,1.7441
1.5,1062,880,719,1580,924,22.9,65.7,1.8148
1.6,1160,1036,622,1727,1023,23.2,63.9,1.7957
2.2,1169,983,672,1633,1033,23,62.3,1.7248
2.3,1185,1006,666,1638,1065,22.4,63.2,1.6878
6.6,1571,1559,440,2277,1516,21.7,66.6,1.7077
4.7,1464,1362,487,1987,1648,21.2,70.3,1.7476
4.1,1423,1314,508,1912,1466,20.8,70.9,1.7203
4.1,1318,1226,543,1848,1365,20,73.2,1.6965
2.7,1229,1114,598,1723,1247,19.7,73.7,1.6708
2.6,1187,1105,611,1700,1183,19.9,72.6,1.6681
3.2,1353,1176,584,1723,2150,20.1,71.3,1.6564
3.7,1407,1235,548,1780,2519,20.1,71.1,1.6498
3.5,1333,1201,552,1767,1925,19.6,73.2,1.6543
2.03333,1253,1206,540,1779,1579,18.4,77.9,1.6389
2.7,1212,1149,562,1710,1599,18.4,78.1,1.637
1.8,1061,962,679,1554,1395,19.2,74.7,1.6398
1.3,1028,890,733,1525,1323,19.4,75.1,1.6766
1.5,1067,928,711,1564,1309,19.1,75.6,1.6519
1.9,1111,970,667,1594,1441,20.3,71.1,1.6803
2.2,1189,1065,609,1683,1830,23.1,61.3,1.7131
2.6,1293,1114,584,1702,1704,25.1,56,1.7565
2.7,1285,1065,597,1686,1576,25.8,56.1,1.841
2.5,1236,1011,631,1706,1305,23.7,68.2,1.9739
1.5,1082,834,747,1562,991,23.1,70.8,1.98
2,1188,954,664,1636,1148,23.9,66.3,1.9361
3.1,1348,1157,564,1810,1307,23.8,65,1.8897
3.7,1394,1193,547,1811,1386,23.2,65.6,1.8435
4,1472,1290,510,1942,1420,21.8,72.7,1.8789
4.1,1291,1174,567,1746,1341,21.7,67.3,1.7256
3.1,1264,1133,593,1750,1258,21.3,66.3,1.6594
